"Total P&L","Total P&L %","Max equity drawdown","Max equity drawdown %","Total trades","Profitable trades","Profitable trades ratio","Profit factor","Initial capital","Open P&L","Open P&L %","Net P&L: All","Net P&L %: All","Net P&L: Long","Net P&L %: Long","Net P&L: Short","Net P&L %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Profit factor: All","Profit factor: Long","Profit factor: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Expected payoff: All","Expected payoff: Long","Expected payoff: Short","Buy & hold return","Buy & hold return %","Buy & hold % gain","Strategy outperformance","Sharpe ratio","Sortino ratio","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg P&L %: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg winning trade %: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Avg losing trade %: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest winner as % of gross profit: All","Largest winner as % of gross profit: Long","Largest winner as % of gross profit: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Largest loser as % of gross loss: All","Largest loser as % of gross loss: Long","Largest loser as % of gross loss: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Annualized return (CAGR): All","Annualized return (CAGR): Long","Annualized return (CAGR): Short","Return on initial capital: All","Return on initial capital: Long","Return on initial capital: Short","Account size required","Return on account size required: All","Return on account size required: Long","Return on account size required: Short","Net profit as % of largest loss: All","Net profit as % of largest loss: Long","Net profit as % of largest loss: Short","Avg margin used: All","Max margin used","Margin efficiency","Margin calls","Avg equity run-up duration (close-to-close)","Avg equity run-up (close-to-close)","Avg equity run-up (close-to-close) %","Max equity run-up (close-to-close)","Max equity run-up (close-to-close) %","Max equity run-up (intrabar)","Max equity run-up (intrabar) %","Max equity run-up as % of initial capital (intrabar)","Avg equity drawdown duration (close-to-close)","Avg equity drawdown (close-to-close)","Avg equity drawdown (close-to-close) %","Max equity drawdown (close-to-close)","Max equity drawdown (close-to-close) %","Max equity drawdown (intrabar)","Max equity drawdown (intrabar) %","Max equity drawdown as % of initial capital (intrabar)","Return of max equity drawdown","_setTime_","_parseTime_","_duration_","comment","__启用牛熊过滤器","__启用P1形态切换平多","__启用P4形态切换平空","__MACD快线周期","__MACD慢线周期","__MACD信号线周期","__启用OBV过滤器","__OBV振荡器EMA周期","__启用双系统突破","__系统1失败过滤","__S1周期（短周期）","__S2周期（长周期）","__全局基础风险比例(%)","__实盘模式（固定本金）","__实盘本金（USDT）","__启用最大开仓量上限","__最大开仓量上限（BTC）","__P1 做多倍数 (突破)","__P2 做多倍数 (MACD)","__P3 做多倍数 (MACD)","__P4 做空倍数 (突破)","__P5 做多倍数","__P5 做空倍数","__P6 做多倍数","__P6 做空倍数","__启用P1损失冷却期","__冷却期长度（K线数）","__冷却期内P1倍数","__启用价格止损","__止损比例(%)","__ATR初始止损倍数","__ATR追踪止损倍数（多头）","__ATR追踪止损倍数（空头）","__启用追踪止损","__追踪止损激活ATR倍数（多头）","__追踪止损激活ATR倍数（空头）","__激活追踪时保本止损","__启用加仓（金字塔）","__最大加仓次数（多头）","__最大加仓次数（空头）","__加仓数量倍数","__MA1周期","__MA1类型","__MA2周期","__MA2类型"
361715.81,1446.86,3566.99,4.25,85,55.29,"47/85",18.371,25000,0,0,361715.81,1446.86,352929.31,1411.72,8786.5,35.15,382538.66,1530.15,369987.8,1479.95,12550.86,50.2,20822.85,83.29,17058.49,68.23,3764.36,15.06,18.371,21.689,3.334,2023.14,1752.45,270.69,4255.48,5267.6,488.14,211209.75,844.84,844.84,150506.06,0.126,42.592,85,67,18,0,0,0,47,37,10,38,30,8,55.29,55.22,55.56,4255.48,12.96,5267.6,15.51,488.14,3.49,8139.12,26.39,9999.67,31.02,1255.09,9.24,547.97,3.64,568.62,3.62,470.54,3.69,14.853,17.586,2.667,192276.56,192276.56,3893.26,378.51,378.51,25.21,50.26,51.97,31.02,1524.55,1524.55,626.95,8.59,8.59,4.13,7.32,8.94,16.65,134,162,31,223,271,49,23,28,8,53.41,52.86,4.82,1446.86,1411.72,35.15,7791.34,4642.54,4529.77,112.77,23726.06,23149.72,1401.46,335.42,4224.35,0.001,0,127,34214.73,136.86,279915.47,1119.66,368946.89,93.66,1475.79,70,1670.24,6.68,3161.44,12.65,3566.99,4.25,14.27,101.41,0,0,0,"Current parameters.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,3,true,5,5,true,true,1,0,0.5,144,"RMA",576,"RMA"
359534.02,1438.14,3566.99,4.25,85,55.29,"47/85",18.266,25000,0,0,359534.02,1438.14,352929.31,1411.72,6604.7,26.42,380356.87,1521.43,369987.8,1479.95,10369.06,41.48,20822.85,83.29,17058.49,68.23,3764.36,15.06,18.266,21.689,2.755,2024.45,1752.45,272,4229.81,5267.6,366.93,211240.9,844.96,844.96,148293.12,0.125,41.986,85,67,18,0,0,0,47,37,10,38,30,8,55.29,55.22,55.56,4229.81,12.78,5267.6,15.51,366.93,2.61,8092.7,26.05,9999.67,31.02,1036.91,7.66,547.97,3.64,568.62,3.62,470.54,3.69,14.769,17.586,2.204,192276.56,192276.56,3390.95,378.51,378.51,22.21,50.55,51.97,32.7,1524.55,1524.55,626.95,8.59,8.59,4.13,7.32,8.94,16.65,136,162,42,228,271,70,23,28,8,53.27,52.86,3.73,1438.14,1411.72,26.42,7791.34,4614.54,4529.77,84.77,23582.94,23149.72,1053.46,336.81,4224.35,0.001,0,130,34129.65,136.52,279915.47,1119.66,367538.5,93.64,1470.15,78,1710.52,6.84,3161.44,12.65,3566.99,4.25,14.27,100.79,1.4,3.1,4.5,"Changed ""ATR追踪止损倍数（空头）"": 3 => 4.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,4,true,5,5,true,true,1,0,0.5,144,"RMA",576,"RMA"
366712.11,1466.85,4907.58,4.49,89,55.06,"49/89",18.149,25000,0,0,366712.11,1466.85,358706.2,1434.82,8005.91,32.02,388095.62,1552.38,376325.36,1505.3,11770.27,47.08,21383.51,85.53,17619.15,70.48,3764.36,15.06,18.149,21.359,3.127,2120.79,1849.63,271.16,4120.36,5052.2,444.77,211240.9,844.96,844.96,155471.22,0.126,38.038,89,71,18,0,0,0,49,39,10,40,32,8,55.06,54.93,55.56,4120.36,12.6,5052.2,14.99,444.77,3.17,7920.32,25.78,9649.37,30.17,1177.03,8.65,534.59,3.55,550.6,3.52,470.54,3.69,14.816,17.525,2.501,192276.56,192276.56,3893.26,378.51,378.51,25.21,49.54,51.09,33.08,1524.55,1524.55,626.95,8.59,8.59,4.13,7.13,8.65,16.65,127,151,31,212,254,49,22,26,8,53.72,53.22,4.44,1466.85,1434.82,32.02,9195.63,3987.89,3900.83,87.06,24053.78,23528.65,1276.96,331.75,4288.05,0.001,0,136,34959.72,139.84,284324.04,1137.3,375361.29,93.86,1501.45,72,1832.7,7.33,4555.05,18.22,4907.58,4.49,19.63,74.72,1.4,3.5,4.9,"Changed all parameters randomly.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,3,true,3,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
363604.34,1454.42,5479.54,4.49,85,51.76,"44/85",18.652,25000,0,0,363604.34,1454.42,358706.2,1434.82,4898.13,19.59,384202.41,1536.81,376325.36,1505.3,7877.06,31.51,20598.08,82.39,17619.15,70.48,2978.92,11.92,18.652,21.359,2.644,2057.66,1849.63,208.03,4277.7,5052.2,349.87,211240.6,844.96,844.96,152363.74,0.125,36.712,85,71,14,0,0,0,44,39,5,41,32,9,51.76,54.93,35.71,4277.7,13.09,5052.2,14.99,349.87,3.45,8731.87,28.4,9649.37,30.17,1575.41,14.53,502.39,3.34,550.6,3.52,330.99,2.71,17.381,17.525,4.76,192276.56,192276.56,4022.68,378.51,378.51,51.32,50.05,51.09,51.07,1524.55,1524.55,626.95,8.59,8.59,4.13,7.4,8.65,21.05,144,151,106,253,254,244,26,26,29,53.53,53.22,2.84,1454.42,1434.82,19.59,9767.59,3722.56,3672.41,50.15,23849.93,23528.65,781.26,337.45,4288.05,0.001,0,130,37852.42,151.41,284324.04,1137.3,373773.09,93.83,1495.09,79,1942.47,7.77,5301.28,21.21,5479.54,4.49,21.92,66.36,1.4,2.5,3.8,"Changed ""ATR追踪止损倍数（空头）"": 3 => 6.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,6,true,3,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
365030.03,1460.12,5093.36,4.49,88,52.27,"46/88",17.842,25000,0,0,365030.03,1460.12,358706.2,1434.82,6323.83,25.3,386704.45,1546.82,376325.36,1505.3,10379.09,41.52,21674.42,86.7,17619.15,70.48,4055.27,16.22,17.842,21.359,2.559,2107.95,1849.63,258.32,4148.07,5052.2,371.99,211240.9,844.96,844.96,153789.14,0.125,36.664,88,71,17,0,0,0,46,39,7,42,32,10,52.27,54.93,41.18,4148.07,12.55,5052.2,14.99,371.99,2.38,8406.62,27.15,9649.37,30.17,1482.73,10.32,516.06,3.44,550.6,3.52,405.53,3.18,16.29,17.525,3.656,192276.56,192276.56,5408,378.51,378.51,39.91,49.72,51.09,52.1,1524.55,1524.55,626.95,8.59,8.59,4.13,7.03,8.65,15.46,135,151,70,236,254,140,25,26,21,53.61,53.22,3.59,1460.12,1434.82,25.3,9381.41,3890.99,3823.58,67.41,23943.44,23528.65,1008.66,336.49,4288.05,0.001,0,130,37881.09,151.52,284324.04,1137.3,374762.1,93.85,1499.05,86,1967.11,7.87,4915.12,19.66,5093.36,4.49,20.37,71.67,1.4,3.7,5.1,"Changed ""ATR追踪止损倍数（空头）"": 6 => 5.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,5,true,3,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
208241.35,832.97,5655.2,4.49,98,52.04,"51/98",9.304,25000,0,0,208241.35,832.97,200235.44,800.94,8005.91,32.02,233317.89,933.27,221547.62,886.19,11770.27,47.08,25076.53,100.31,21312.18,85.25,3764.36,15.06,9.304,10.395,3.127,2170.22,1899.07,271.16,2124.91,2502.94,444.77,211296.13,845.18,845.18,-3054.78,0.141,14.289,98,80,18,0,0,0,51,41,10,47,39,8,52.04,51.25,55.56,2124.91,7.02,2502.94,7.88,444.77,3.17,4574.86,16.92,5403.6,18.94,1177.03,8.65,533.54,3.73,546.47,3.74,470.54,3.69,8.574,9.888,2.501,88852.82,88852.82,3893.26,174.91,174.91,25.21,38.08,40.11,33.08,1524.55,1524.55,626.95,8.68,8.68,4.13,6.08,7.15,16.65,99,115,31,171,201,49,21,23,8,41.76,40.98,4.44,832.97,800.94,32.02,8431.06,2469.93,2374.97,94.96,13659.19,13134.06,1276.96,194.87,2775.86,0.001,0,129,20752.23,83.01,130932.3,523.73,220494.94,89.98,881.98,86,2141.91,8.57,5249.62,21,5655.2,4.49,22.62,36.82,1.4,3,4.3,"Changed ""ATR追踪止损倍数（多头）"": 11 => 8.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,8,3,true,3,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
366712.11,1466.85,4907.58,4.49,89,55.06,"49/89",18.149,25000,0,0,366712.11,1466.85,358706.2,1434.82,8005.91,32.02,388095.62,1552.38,376325.36,1505.3,11770.27,47.08,21383.51,85.53,17619.15,70.48,3764.36,15.06,18.149,21.359,3.127,2120.79,1849.63,271.16,4120.36,5052.2,444.77,211316.41,845.27,845.27,155395.7,0.126,38.038,89,71,18,0,0,0,49,39,10,40,32,8,55.06,54.93,55.56,4120.36,12.6,5052.2,14.99,444.77,3.17,7920.32,25.78,9649.37,30.17,1177.03,8.65,534.59,3.55,550.6,3.52,470.54,3.69,14.816,17.525,2.501,192276.56,192276.56,3893.26,378.51,378.51,25.21,49.54,51.09,33.08,1524.55,1524.55,626.95,8.59,8.59,4.13,7.13,8.65,16.65,127,151,31,212,254,49,22,26,8,53.72,53.22,4.44,1466.85,1434.82,32.02,9195.63,3987.89,3900.83,87.06,24053.78,23528.65,1276.96,331.75,4288.05,0.001,0,136,34959.72,139.84,284324.04,1137.3,375361.29,93.86,1501.45,72,1832.7,7.33,4555.05,18.22,4907.58,4.49,19.63,74.72,1.3,1.9,3.2,"Changed ""ATR追踪止损倍数（多头）"": 8 => 11.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,3,true,3,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
364564.82,1458.26,4907.58,4.49,89,53.93,"48/89",17.833,25000,0,0,364564.82,1458.26,358706.2,1434.82,5858.62,23.43,386222.62,1544.89,376325.36,1505.3,9897.26,39.59,21657.79,86.63,17619.15,70.48,4038.64,16.15,17.833,21.359,2.451,2122.08,1849.63,272.44,4096.23,5052.2,325.48,211342.85,845.37,845.37,153221.97,0.125,37.202,89,71,18,0,0,0,48,39,9,41,32,9,53.93,54.93,50,4096.23,12.42,5052.2,14.99,325.48,2.28,8046.3,26.03,9649.37,30.17,1099.7,8.07,528.24,3.52,550.6,3.52,448.74,3.52,15.232,17.525,2.451,192276.56,192276.56,3390.95,378.51,378.51,22.21,49.78,51.09,34.26,1524.55,1524.55,626.95,8.59,8.59,4.13,7.04,8.65,15.52,129,151,42,219,254,69,23,26,16,53.59,53.22,3.34,1458.26,1434.82,23.43,9195.63,3964.54,3900.83,63.71,23912.93,23528.65,934.46,333.16,4288.05,0.001,0,123,34837.45,139.35,284324.04,1137.3,373987.4,93.84,1495.95,88,1912.93,7.65,4653.87,18.62,4907.58,4.49,19.63,74.29,1.4,2.1,3.5,"Changed all parameters randomly.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,4,true,3,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
360935.22,1443.74,3566.99,4.25,85,55.29,"47/85",18.334,25000,0,0,360935.22,1443.74,352929.31,1411.72,8005.91,32.02,381758.07,1527.03,369987.8,1479.95,11770.27,47.08,20822.85,83.29,17058.49,68.23,3764.36,15.06,18.334,21.689,3.127,2023.61,1752.45,271.16,4246.3,5267.6,444.77,211349.9,845.4,845.4,149585.32,0.126,42.559,85,67,18,0,0,0,47,37,10,38,30,8,55.29,55.22,55.56,4246.3,12.9,5267.6,15.51,444.77,3.17,8122.51,26.26,9999.67,31.02,1177.03,8.65,547.97,3.64,568.62,3.62,470.54,3.69,14.823,17.586,2.501,192276.56,192276.56,3893.26,378.51,378.51,25.21,50.37,51.97,33.08,1524.55,1524.55,626.95,8.59,8.59,4.13,7.32,8.94,16.65,134,162,31,224,271,49,23,28,8,53.36,52.86,4.44,1443.74,1411.72,32.02,7791.34,4632.52,4529.77,102.75,23674.85,23149.72,1276.96,335.45,4224.35,0.001,0,136,34236.55,136.95,279915.47,1119.66,368166.3,93.65,1472.67,70,1687.99,6.75,3161.44,12.65,3566.99,4.25,14.27,101.19,1.4,2.8,4.2,"Changed all parameters randomly.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,3,true,5,4,true,true,1,0,0.5,144,"RMA",576,"RMA"
358526.68,1434.11,3566.99,4.25,85,54.12,"46/85",17.994,25000,0,0,358526.68,1434.11,352929.31,1411.72,5597.37,22.39,379623.81,1518.5,369987.8,1479.95,9636.01,38.54,21097.13,84.39,17058.49,68.23,4038.64,16.15,17.994,21.689,2.386,2025.05,1752.45,272.6,4217.96,5267.6,310.96,211349.9,845.4,845.4,147176.78,0.125,41.322,85,67,18,0,0,0,46,37,9,39,30,9,54.12,55.22,50,4217.96,12.69,5267.6,15.51,310.96,2.18,8252.69,26.49,9999.67,31.02,1070.67,7.88,540.95,3.6,568.62,3.62,448.74,3.52,15.256,17.586,2.386,192276.56,192276.56,3390.95,378.51,378.51,22.21,50.65,51.97,35.19,1524.55,1524.55,626.95,8.59,8.59,4.13,7.23,8.94,15.52,137,162,43,231,271,70,25,28,16,53.21,52.86,3.21,1434.11,1411.72,22.39,7791.34,4601.61,4529.77,71.84,23516.87,23149.72,892.79,336.97,4224.35,0.001,0,122,34114.28,136.46,279915.47,1119.66,366792.41,93.62,1467.17,86,1794.35,7.18,3224.32,12.9,3566.99,4.25,14.27,100.51,1.4,2.3,3.7,"Changed all parameters randomly.",true,true,true,13,21,8,true,13,0,true,55,144,1,true,25000,0,10,4,2,2,2,1,1,1,1,true,55,1,true,4,2,11,4,true,5,3,true,true,1,0,0.5,144,"RMA",576,"RMA"
