"Total PnL","Total PnL %","Max drawdown","Max drawdown %","Profitable trades","Profitable trades ratio","Profit factor","Initial capital","Open PnL: All","Open PnL %: All","Net PnL: All","Net PnL %: All","Net PnL: Long","Net PnL %: Long","Net PnL: Short","Net PnL %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Profit factor: All","Profit factor: Long","Profit factor: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Expected payoff: All","Expected payoff: Long","Expected payoff: Short","Buy and hold PnL: All","Buy and hold PnL %: All","Buy and hold % gain: All","Strategy outperformance","Sharpe ratio","Sortino ratio","_setTime_","_parseTime_","_duration_","comment","__启用实盘时间过滤器","__启用牛熊过滤器","__启用P1形态切换平多","__启用P4形态切换平空","__MACD快线周期","__MACD慢线周期","__MACD信号线周期","__启用OBV过滤器","__OBV振荡器EMA周期","__启用双系统突破","__系统1失败过滤","__S1周期（短周期）","__S2周期（长周期）","__全局基础风险比例(%)","__实盘模式（固定本金）","__实盘本金（USDT）","__启用最大开仓量上限","__最大开仓量上限（BTC）","__P1 做多倍数 (突破)","__P2 做多倍数 (MACD)","__P3 做多倍数 (MACD)","__P4 做空倍数 (突破)","__P5 做多倍数","__P5 做空倍数","__P6 做多倍数","__P6 做空倍数","__启用P1损失冷却期","__冷却期内P1倍数","__启用价格止损","__止损比例(%)","__ATR初始止损倍数","__ATR追踪止损倍数（多头）","__ATR追踪止损倍数（空头）","__启用追踪止损","__追踪止损激活ATR倍数（多头）","__追踪止损激活ATR倍数（空头）","__激活追踪时保本止损","__启用加仓（金字塔）","__最大加仓次数（多头）","__最大加仓次数（空头）","__加仓数量倍数","__MA1周期","__MA1类型","__MA2周期","__MA2类型"
38425.99,384.26,3282.06,8.32,51.95,"40/77",3.675,10000,5738.29,13.44,32687.7,326.88,24869.71,248.7,7817.99,78.18,44908.78,449.09,35069.89,350.7,9838.89,98.39,12221.08,122.21,10200.18,102,2020.9,20.21,3.675,3.438,4.869,1727.89,1323.02,404.86,424.52,421.52,434.33,5990.21,59.9,59.9,26697.49,0.301,2.328,0,1.1,0,"Current parameters.",true,true,true,true,13,21,8,true,13,0,true,55,144,1,0,10524,0,10,2,1.5,1.3,1.8,1,1.1,1.1,1,true,1,true,4,2,11,3,true,5,5,true,true,1,0,0.5,144,"RMA",576,"RMA"
42232.72,422.33,4931.33,11.16,53.85,"42/78",3.587,10000,6181.29,13.42,36051.43,360.51,28214.91,282.15,7836.52,78.37,49987.82,499.88,39968.1,399.68,10019.72,100.2,13936.39,139.36,11753.18,117.53,2183.2,21.83,3.587,3.401,4.589,1917.66,1479.74,437.92,462.2,470.25,435.36,5990.81,59.91,59.91,30060.62,0.311,2.173,1.3,3.4,4.7,"All parameters set to init values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,3,3,,,,,,,,,
38297.7,382.98,3252.08,8.22,51.28,"40/78",3.498,10000,5720.81,13.44,32576.89,325.77,25290.99,252.91,7285.91,72.86,45618.59,456.19,36295.63,362.96,9322.96,93.23,13041.7,130.42,11004.64,110.05,2037.06,20.37,3.498,3.298,4.577,1753.17,1346.25,406.92,417.65,421.52,404.77,5986.63,59.87,59.87,26590.26,0.3,1.997,1.2,4.1,5.3,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,4,3,,,,,,,,,
38345.33,383.45,3298.97,8.32,51.28,"40/78",3.512,10000,5721.57,13.42,32623.76,326.24,25337.91,253.38,7285.85,72.86,45608.39,456.08,36282.96,362.83,9325.42,93.25,12984.62,129.85,10945.05,109.45,2039.57,20.4,3.512,3.315,4.572,1762.54,1355.23,407.31,418.25,422.3,404.77,5992.79,59.93,59.93,26630.97,0.301,2,1.2,4.5,5.7,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,5,3,,,,,,,,,
38379.28,383.79,5017.56,11.91,52.56,"41/78",3.427,10000,5726.81,13.43,32652.46,326.52,26906,269.06,5746.46,57.46,46106.49,461.06,38146.05,381.46,7960.44,79.6,13454.03,134.54,11240.05,112.4,2213.98,22.14,3.427,3.394,3.596,1829.08,1412.32,416.76,418.62,448.43,319.25,5989.92,59.9,59.9,26662.54,0.298,2.006,1.2,3.7,4.9,"""ATR追踪止损倍数（空头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,3,3,,,,,,,,,
34800.4,348,3399.36,9.01,50,"39/78",3.335,10000,5307.93,13.44,29492.47,294.92,24156.45,241.56,5336.02,53.36,42124.22,421.24,34715.99,347.16,7408.23,74.08,12631.75,126.32,10559.54,105.6,2072.21,20.72,3.335,3.288,3.575,1676.27,1288.44,387.83,378.11,402.61,296.45,5989.14,59.89,59.89,23503.33,0.287,1.846,1.2,3.4,4.6,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,4,3,,,,,,,,,
34856.69,348.57,3441.37,9.1,50,"39/78",3.351,10000,5300.6,13.4,29556.09,295.56,24206.81,242.07,5349.29,53.49,42128.09,421.28,34704.11,347.04,7423.98,74.24,12571.99,125.72,10497.3,104.97,2074.69,20.75,3.351,3.306,3.578,1685.67,1297.17,388.5,378.92,403.45,297.18,5993.47,59.93,59.93,23562.62,0.287,1.849,1.3,5,6.2,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,5,3,,,,,,,,,
38748.22,387.48,5338.49,12.48,50.65,"39/77",3.418,10000,5758.53,13.4,32989.69,329.9,27321.38,273.21,5668.31,56.68,46635.05,466.35,38728.47,387.28,7906.58,79.07,13645.36,136.45,11407.09,114.07,2238.27,22.38,3.418,3.395,3.532,1844.94,1433.9,411.04,428.44,455.36,333.43,5998.77,59.99,59.99,26990.91,0.295,1.97,1.3,3.6,4.8,"""ATR追踪止损倍数（空头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,3,3,,,,,,,,,
35144.59,351.45,3677.37,9.59,48.05,"37/77",3.328,10000,5324.16,13.37,29820.43,298.2,24539.87,245.4,5280.56,52.81,42631.75,426.32,35256.19,352.56,7375.56,73.76,12811.32,128.11,10716.33,107.16,2095,20.95,3.328,3.29,3.521,1691.09,1308.84,382.25,387.28,409,310.62,6000.76,60.01,60.01,23819.67,0.284,1.817,1.2,3.4,4.6,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,4,3,,,,,,,,,
35273.61,352.74,3724.55,9.68,48.05,"37/77",3.346,10000,5361.23,13.43,29912.38,299.12,24616.57,246.17,5295.81,52.96,42663.27,426.63,35269.92,352.7,7393.36,73.93,12750.89,127.51,10653.35,106.53,2097.55,20.98,3.346,3.311,3.525,1701.17,1317.84,383.33,388.47,410.28,311.52,5986.05,59.86,59.86,23926.33,0.284,1.822,1.2,3.5,4.7,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,5,3,,,,,,,,,
37675.1,376.75,5538.02,13.13,50,"37/74",3.425,10000,5669.75,13.5,32005.35,320.05,26953.49,269.53,5051.85,50.52,45201.46,452.01,38221.64,382.22,6979.82,69.8,13196.11,131.96,11268.15,112.68,1927.96,19.28,3.425,3.392,3.62,1788.1,1415.76,372.34,432.5,449.22,360.85,5974.93,59.75,59.75,26030.42,0.293,1.954,1.2,3.3,4.5,"""ATR追踪止损倍数（空头）"" set to 6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,3,3,,,,,,,,,
34153.45,341.53,3874.13,10.25,47.3,"35/74",3.335,10000,5271.5,13.56,28881.95,288.82,24175.96,241.76,4705.99,47.06,41253.38,412.53,34748.92,347.49,6504.46,65.04,12371.43,123.71,10572.96,105.73,1798.47,17.98,3.335,3.287,3.617,1635.76,1289.77,345.99,390.3,402.93,336.14,5960.54,59.61,59.61,22921.41,0.282,1.801,1.2,4,5.2,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,4,3,,,,,,,,,
34194.68,341.95,3913.9,10.34,47.3,"35/74",3.35,10000,5284.82,13.58,28909.87,289.1,24204.72,242.05,4705.15,47.05,41213.09,412.13,34708.63,347.09,6504.46,65.04,12303.22,123.03,10503.91,105.04,1799.31,17.99,3.35,3.304,3.615,1643.92,1297.75,346.18,390.67,403.41,336.08,5952.54,59.53,59.53,22957.33,0.282,1.803,1.2,4,5.2,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,5,3,,,,,,,,,
38013.44,380.13,4528.22,11.16,52.56,"41/78",3.472,10000,5750.4,13.61,32263.03,322.63,24985.44,249.85,7277.59,72.78,45311.93,453.12,35965.44,359.65,9346.5,93.46,13048.9,130.49,10980,109.8,2068.9,20.69,3.472,3.276,4.518,1788.83,1380.28,408.55,413.63,416.42,404.31,5950.38,59.5,59.5,26312.66,0.308,2.309,1.3,4.5,5.7,"""ATR追踪止损倍数（多头）"" set to 8.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,3,3,,,,,,,,,
35011.74,350.12,3027.17,8.22,51.28,"40/78",3.392,10000,5390.29,13.6,29621.45,296.21,22766.06,227.66,6855.39,68.55,42004.66,420.05,33191.08,331.91,8813.58,88.14,12383.22,123.83,10425.03,104.25,1958.19,19.58,3.392,3.184,4.501,1659.61,1274.74,384.87,379.76,379.43,380.86,5947.66,59.48,59.48,23673.79,0.299,2.116,1.2,3.2,4.4,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,4,3,,,,,,,,,
35098.14,350.98,3064.93,8.31,51.28,"40/78",3.408,10000,5426.52,13.68,29671.62,296.72,22816.3,228.16,6855.32,68.55,41991.79,419.92,33178.21,331.78,8813.58,88.14,12320.17,123.2,10361.91,103.62,1958.26,19.58,3.408,3.202,4.501,1668.2,1283.25,384.95,380.41,380.27,380.85,5933.5,59.34,59.34,23738.11,0.299,2.122,1.2,3.3,4.5,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,5,3,,,,,,,,,
34618.97,346.19,4615.75,11.92,51.28,"40/78",3.315,10000,5394.08,13.75,29224.89,292.25,23886.56,238.87,5338.33,53.38,41846.46,418.46,34402.41,344.02,7444.05,74.44,12621.57,126.22,10515.85,105.16,2105.72,21.06,3.315,3.271,3.535,1710.38,1320.66,389.72,374.68,398.11,296.57,5916.45,59.16,59.16,23308.44,0.294,2.111,1.3,3.4,4.6,"""ATR追踪止损倍数（空头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,3,3,,,,,,,,,
31785.68,317.86,3157.66,8.99,50,"39/78",3.231,10000,5051.31,13.75,26734.36,267.34,21727.44,217.27,5006.93,50.07,38717.39,387.17,31714.78,317.15,7002.61,70.03,11983.02,119.83,9987.34,99.87,1995.68,19.96,3.231,3.175,3.509,1585.9,1218.94,366.97,342.75,362.12,278.16,5915.64,59.16,59.16,20818.72,0.285,1.937,1.2,3.6,4.9,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,4,3,,,,,,,,,
31827.21,318.27,3200.17,9.1,50,"39/78",3.243,10000,5067.88,13.79,26759.33,267.59,21738.34,217.38,5020.99,50.21,38687.87,386.88,31671.19,316.71,7016.67,70.17,11928.53,119.29,9932.85,99.33,1995.68,19.96,3.243,3.189,3.516,1593.46,1226.34,367.12,343.07,362.31,278.94,5905.11,59.05,59.05,20854.22,0.285,1.94,1.2,4.7,5.9,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,5,3,,,,,,,,,
34988.09,349.88,4910.87,12.48,49.35,"38/77",3.308,10000,5434.92,13.74,29553.17,295.53,24262.92,242.63,5290.24,52.9,42355.84,423.56,34938.8,349.39,7417.04,74.17,12802.67,128.03,10675.88,106.76,2126.8,21.27,3.308,3.273,3.487,1725.21,1341.37,383.84,383.81,404.38,311.19,5914.1,59.14,59.14,23639.07,0.291,2.062,1.2,4.2,5.4,"""ATR追踪止损倍数（空头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,3,3,,,,,,,,,
32134.67,321.35,3425.48,9.59,48.05,"37/77",3.225,10000,5075.47,13.7,27059.2,270.59,22082.33,220.82,4976.87,49.77,39218.51,392.19,32226.35,322.26,6992.16,69.92,12159.32,121.59,10144.02,101.44,2015.3,20.15,3.225,3.177,3.47,1600.11,1238.55,361.56,351.42,368.04,292.76,5923.66,59.24,59.24,21135.54,0.281,1.898,1.2,3.4,4.6,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,4,3,,,,,,,,,
32172.67,321.73,3458.75,9.67,48.05,"37/77",3.241,10000,5062.88,13.64,27109.79,271.1,22119.14,221.19,4990.66,49.91,39205.55,392.06,32199.52,322,7006.03,70.06,12095.75,120.96,10080.38,100.8,2015.37,20.15,3.241,3.194,3.476,1608.09,1246.3,361.79,352.08,368.65,293.57,5939.3,59.39,59.39,21170.49,0.282,1.9,1.2,4.2,5.5,"""追踪止损激活ATR倍数（多头）"" set to 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,5,3,,,,,,,,,
33883.3,338.83,5093.54,13.14,48.65,"36/74",3.318,10000,5268.54,13.64,28614.75,286.15,23905.88,239.06,4708.87,47.09,40957.95,409.58,34433.17,344.33,6524.78,65.25,12343.2,123.43,10527.28,105.27,1815.92,18.16,3.318,3.271,3.593,1668.45,1322.03,346.43,386.69,398.43,336.35,5940.35,59.4,59.4,22674.41,0.288,2.044,1.2,3.6,4.8,"""ATR追踪止损倍数（空头）"" set to 6.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,3,3,,,,,,,,,
31080.81,310.81,3608.52,10.26,47.3,"35/74",3.231,10000,4919.51,13.6,26161.31,261.61,21736.06,217.36,4425.25,44.25,37888.55,378.89,31748.35,317.48,6140.19,61.4,11727.24,117.27,10012.3,100.12,1714.94,17.15,3.231,3.171,3.58,1546.52,1220.86,325.66,353.53,362.27,316.09,5945.23,59.45,59.45,20216.08,0.279,1.877,1.2,3.8,5,"""追踪止损激活ATR倍数（多头）"" set to 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,4,3,,,,,,,,,
