"Total P&L","Total P&L %","Max equity drawdown","Max equity drawdown %","Total trades","Profitable trades","Profitable trades ratio","Profit factor","Initial capital","Open P&L","Open P&L %","Net P&L: All","Net P&L %: All","Net P&L: Long","Net P&L %: Long","Net P&L: Short","Net P&L %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Profit factor: All","Profit factor: Long","Profit factor: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Expected payoff: All","Expected payoff: Long","Expected payoff: Short","Buy & hold return","Buy & hold return %","Buy & hold % gain","Strategy outperformance","Sharpe ratio","Sortino ratio","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg P&L %: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg winning trade %: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Avg losing trade %: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest winner as % of gross profit: All","Largest winner as % of gross profit: Long","Largest winner as % of gross profit: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Largest loser as % of gross loss: All","Largest loser as % of gross loss: Long","Largest loser as % of gross loss: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Annualized return (CAGR): All","Annualized return (CAGR): Long","Annualized return (CAGR): Short","Return on initial capital: All","Return on initial capital: Long","Return on initial capital: Short","Account size required","Return on account size required: All","Return on account size required: Long","Return on account size required: Short","Net profit as % of largest loss: All","Net profit as % of largest loss: Long","Net profit as % of largest loss: Short","Avg margin used: All","Max margin used","Margin efficiency","Margin calls","Avg equity run-up duration (close-to-close)","Avg equity run-up (close-to-close)","Avg equity run-up (close-to-close) %","Max equity run-up (close-to-close)","Max equity run-up (close-to-close) %","Max equity run-up (intrabar)","Max equity run-up (intrabar) %","Max equity run-up as % of initial capital (intrabar)","Avg equity drawdown duration (close-to-close)","Avg equity drawdown (close-to-close)","Avg equity drawdown (close-to-close) %","Max equity drawdown (close-to-close)","Max equity drawdown (close-to-close) %","Max equity drawdown (intrabar)","Max equity drawdown (intrabar) %","Max equity drawdown as % of initial capital (intrabar)","Return of max equity drawdown","_setTime_","_parseTime_","_duration_","comment","__system1_period","__system2_period","__atr_mult_long_trail","__atr_mult_short_trail","__profit_atr_mult_long","__profit_atr_mult_short"
38189.59,381.8959,2333.46,23.3346,96.0,48.96,"47/96",8.8662,10000.0,"","",38189.59,381.8959,36299.4,362.994,1906.82,19.0682,43367.96,433.6796,40269.68,"",3098.28,"",5161.74,51.6174,3970.28,"",1191.46,"",8.8662,10.1428,2.6004,373.25,"","",397.98,490.53,86.67,72829.0,728.29,728.29,-34639.41,1.2587,1.8995,96.0,74.0,22.0,"","","",47.0,35.0,12.0,49.0,39.0,10.0,48.96,47.3,54.55,397.98,"",490.53,"",86.67,"",922.72,27.146,1150.56,"",258.19,"",105.34,3.7108,101.8,"",119.15,"",8.7594,11.3022,2.1669,18899.49,18899.49,1209.56,381.9084,"","",43.58,"","",258.21,258.21,143.72,8.4643,"","",5.0,"","",114.0,134.0,49.0,216.0,"","",16.0,"","",29.99,29.12,2.95,381.8959,362.994,19.0682,"","","","",14790.13,"","","","","",0.0,"",30452.0,304.52,38642.44,387.34,38642.44,387.34,387.34,"23天",738.26,7.3826,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Best result.",55.0,144.0,11.0,4.0,3.0,5.0
38189.59,381.8959,2333.46,23.3346,96.0,48.96,"47/96",8.8662,10000.0,"","",38189.59,381.8959,36299.4,362.994,1906.82,19.0682,43367.96,433.6796,40269.68,"",3098.28,"",5161.74,51.6174,3970.28,"",1191.46,"",8.8662,10.1428,2.6004,373.25,"","",397.98,490.53,86.67,72829.0,728.29,728.29,-34639.41,1.2587,1.8995,96.0,74.0,22.0,"","","",47.0,35.0,12.0,49.0,39.0,10.0,48.96,47.3,54.55,397.98,"",490.53,"",86.67,"",922.72,27.146,1150.56,"",258.19,"",105.34,3.7108,101.8,"",119.15,"",8.7594,11.3022,2.1669,18899.49,18899.49,1209.56,381.9084,"","",43.58,"","",258.21,258.21,143.72,8.4643,"","",5.0,"","",114.0,134.0,49.0,216.0,"","",16.0,"","",29.99,29.12,2.95,381.8959,362.994,19.0682,"","","","",14790.13,"","","","","",0.0,"",30452.0,304.52,38642.44,387.34,38642.44,387.34,387.34,"23天",738.26,7.3826,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 2.",55.0,144.0,11.0,4.0,3.0,5.0
38189.59,381.8959,2333.46,23.3346,96.0,48.96,"47/96",8.8662,10000.0,"","",38189.59,381.8959,36299.4,362.994,1906.82,19.0682,43367.96,433.6796,40269.68,"",3098.28,"",5161.74,51.6174,3970.28,"",1191.46,"",8.8662,10.1428,2.6004,373.25,"","",397.98,490.53,86.67,72829.0,728.29,728.29,-34639.41,1.2587,1.8995,96.0,74.0,22.0,"","","",47.0,35.0,12.0,49.0,39.0,10.0,48.96,47.3,54.55,397.98,"",490.53,"",86.67,"",922.72,27.146,1150.56,"",258.19,"",105.34,3.7108,101.8,"",119.15,"",8.7594,11.3022,2.1669,18899.49,18899.49,1209.56,381.9084,"","",43.58,"","",258.21,258.21,143.72,8.4643,"","",5.0,"","",114.0,134.0,49.0,216.0,"","",16.0,"","",29.99,29.12,2.95,381.8959,362.994,19.0682,"","","","",14790.13,"","","","","",0.0,"",30452.0,304.52,38642.44,387.34,38642.44,387.34,387.34,"23天",738.26,7.3826,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 3.",55.0,144.0,11.0,4.0,3.0,5.0
38007.13,380.0713,2327.87,23.2787,90.0,45.56,"41/90",9.3172,10000.0,"","",38007.13,380.0713,35749.52,357.4952,2273.47,22.7347,43046.63,430.4663,39774.37,"",3272.26,"",5023.64,50.2364,4024.85,"",998.79,"",9.3172,9.8822,3.2762,355.13,"","",422.48,496.52,126.31,72829.0,728.29,728.29,-34821.87,1.258,1.8979,90.0,72.0,18.0,"","","",41.0,34.0,7.0,49.0,38.0,11.0,45.56,47.22,38.89,422.48,"",496.52,"",126.31,"",1049.92,30.453,1169.83,"",467.47,"",102.52,3.6022,105.92,"",90.8,"",10.2411,11.0445,5.1483,18899.49,18899.49,1735.15,381.9084,"","",43.9,"","",258.21,258.21,140.25,8.4643,"","",5.14,"","",129.0,136.0,99.0,260.0,"","",19.0,"","",29.91,28.87,3.48,380.0713,357.4952,22.7347,"","","","",14719.46,"","","","","",0.0,"",30324.0,303.24,38478.61,385.7,38478.61,385.7,385.7,"23天",709.48,7.0948,2327.87,23.2787,2327.87,23.2787,0.2364,13017.97,"","","","Rank 4.",55.0,144.0,11.0,6.0,5.0,4.0
38007.13,380.0713,2327.87,23.2787,90.0,45.56,"41/90",9.3172,10000.0,"","",38007.13,380.0713,35749.52,357.4952,2273.47,22.7347,43046.63,430.4663,39774.37,"",3272.26,"",5023.64,50.2364,4024.85,"",998.79,"",9.3172,9.8822,3.2762,355.13,"","",422.48,496.52,126.31,72829.0,728.29,728.29,-34821.87,1.258,1.8979,90.0,72.0,18.0,"","","",41.0,34.0,7.0,49.0,38.0,11.0,45.56,47.22,38.89,422.48,"",496.52,"",126.31,"",1049.92,30.453,1169.83,"",467.47,"",102.52,3.6022,105.92,"",90.8,"",10.2411,11.0445,5.1483,18899.49,18899.49,1735.15,381.9084,"","",43.9,"","",258.21,258.21,140.25,8.4643,"","",5.14,"","",129.0,136.0,99.0,260.0,"","",19.0,"","",29.91,28.87,3.48,380.0713,357.4952,22.7347,"","","","",14719.46,"","","","","",0.0,"",30324.0,303.24,38478.61,385.7,38478.61,385.7,385.7,"23天",709.48,7.0948,2327.87,23.2787,2327.87,23.2787,0.2364,13017.97,"","","","Rank 5.",55.0,144.0,11.0,6.0,5.0,4.0
38150.44,381.5044,2333.46,23.3346,95.0,46.32,"44/95",8.7656,10000.0,"","",38150.44,381.5044,36299.4,362.994,1867.49,18.6749,43386.12,433.8612,40269.68,"",3116.44,"",5219.23,52.1923,3970.28,"",1248.95,"",8.7656,10.1428,2.4952,370.46,"","",401.76,490.53,88.93,72829.0,728.29,728.29,-34678.56,1.2578,1.8981,95.0,74.0,21.0,"","","",44.0,35.0,9.0,51.0,39.0,12.0,46.32,47.3,42.86,401.76,"",490.53,"",88.93,"",986.05,28.9335,1150.56,"",346.27,"",102.34,3.6034,101.8,"",104.08,"",9.635,11.3022,3.327,18899.49,18899.49,1200.36,381.9084,"","",43.56,"","",258.21,258.21,143.72,8.4643,"","",4.95,"","",120.0,134.0,71.0,237.0,"","",18.0,"","",29.97,29.12,2.9,381.5044,362.994,18.6749,"","","","",14774.97,"","","","","",0.0,"",30445.0,304.45,38612.49,387.04,38612.49,387.04,387.04,"23天",738.66,7.3866,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 6.",55.0,144.0,11.0,5.0,3.0,4.0
38150.44,381.5044,2333.46,23.3346,95.0,46.32,"44/95",8.7656,10000.0,"","",38150.44,381.5044,36299.4,362.994,1867.49,18.6749,43386.12,433.8612,40269.68,"",3116.44,"",5219.23,52.1923,3970.28,"",1248.95,"",8.7656,10.1428,2.4952,370.46,"","",401.76,490.53,88.93,72829.0,728.29,728.29,-34678.56,1.2578,1.8981,95.0,74.0,21.0,"","","",44.0,35.0,9.0,51.0,39.0,12.0,46.32,47.3,42.86,401.76,"",490.53,"",88.93,"",986.05,28.9335,1150.56,"",346.27,"",102.34,3.6034,101.8,"",104.08,"",9.635,11.3022,3.327,18899.49,18899.49,1200.36,381.9084,"","",43.56,"","",258.21,258.21,143.72,8.4643,"","",4.95,"","",120.0,134.0,71.0,237.0,"","",18.0,"","",29.97,29.12,2.9,381.5044,362.994,18.6749,"","","","",14774.97,"","","","","",0.0,"",30445.0,304.45,38612.49,387.04,38612.49,387.04,387.04,"23天",738.66,7.3866,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 7.",55.0,144.0,11.0,5.0,3.0,4.0
38150.44,381.5044,2333.46,23.3346,95.0,46.32,"44/95",8.7656,10000.0,"","",38150.44,381.5044,36299.4,362.994,1867.49,18.6749,43386.12,433.8612,40269.68,"",3116.44,"",5219.23,52.1923,3970.28,"",1248.95,"",8.7656,10.1428,2.4952,370.46,"","",401.76,490.53,88.93,72829.0,728.29,728.29,-34678.56,1.2578,1.8981,95.0,74.0,21.0,"","","",44.0,35.0,9.0,51.0,39.0,12.0,46.32,47.3,42.86,401.76,"",490.53,"",88.93,"",986.05,28.9335,1150.56,"",346.27,"",102.34,3.6034,101.8,"",104.08,"",9.635,11.3022,3.327,18899.49,18899.49,1200.36,381.9084,"","",43.56,"","",258.21,258.21,143.72,8.4643,"","",4.95,"","",120.0,134.0,71.0,237.0,"","",18.0,"","",29.97,29.12,2.9,381.5044,362.994,18.6749,"","","","",14774.97,"","","","","",0.0,"",30445.0,304.45,38612.49,387.04,38612.49,387.04,387.04,"23天",738.66,7.3866,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 8.",55.0,144.0,11.0,5.0,3.0,4.0
38150.44,381.5044,2333.46,23.3346,95.0,46.32,"44/95",8.7656,10000.0,"","",38150.44,381.5044,36299.4,362.994,1867.49,18.6749,43386.12,433.8612,40269.68,"",3116.44,"",5219.23,52.1923,3970.28,"",1248.95,"",8.7656,10.1428,2.4952,370.46,"","",401.76,490.53,88.93,72829.0,728.29,728.29,-34678.56,1.2578,1.8981,95.0,74.0,21.0,"","","",44.0,35.0,9.0,51.0,39.0,12.0,46.32,47.3,42.86,401.76,"",490.53,"",88.93,"",986.05,28.9335,1150.56,"",346.27,"",102.34,3.6034,101.8,"",104.08,"",9.635,11.3022,3.327,18899.49,18899.49,1200.36,381.9084,"","",43.56,"","",258.21,258.21,143.72,8.4643,"","",4.95,"","",120.0,134.0,71.0,237.0,"","",18.0,"","",29.97,29.12,2.9,381.5044,362.994,18.6749,"","","","",14774.97,"","","","","",0.0,"",30445.0,304.45,38612.49,387.04,38612.49,387.04,387.04,"23天",738.66,7.3866,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 9.",55.0,144.0,11.0,5.0,3.0,4.0
38150.44,381.5044,2333.46,23.3346,95.0,46.32,"44/95",8.7656,10000.0,"","",38150.44,381.5044,36299.4,362.994,1867.49,18.6749,43386.12,433.8612,40269.68,"",3116.44,"",5219.23,52.1923,3970.28,"",1248.95,"",8.7656,10.1428,2.4952,370.46,"","",401.76,490.53,88.93,72829.0,728.29,728.29,-34678.56,1.2578,1.8981,95.0,74.0,21.0,"","","",44.0,35.0,9.0,51.0,39.0,12.0,46.32,47.3,42.86,401.76,"",490.53,"",88.93,"",986.05,28.9335,1150.56,"",346.27,"",102.34,3.6034,101.8,"",104.08,"",9.635,11.3022,3.327,18899.49,18899.49,1200.36,381.9084,"","",43.56,"","",258.21,258.21,143.72,8.4643,"","",4.95,"","",120.0,134.0,71.0,237.0,"","",18.0,"","",29.97,29.12,2.9,381.5044,362.994,18.6749,"","","","",14774.97,"","","","","",0.0,"",30445.0,304.45,38612.49,387.04,38612.49,387.04,387.04,"23天",738.66,7.3866,2333.46,23.3346,2333.46,23.3346,0.2364,13234.3,"","","","Rank 10.",55.0,144.0,11.0,5.0,3.0,4.0
